72			6.5	36	583
5	1.5	40		37	668
4	1	40		37	447
6	1.1	40		37	568
50	1.8	30	6.9	25	104
50	1.8	30	7.1	25	154
50	1.8	30	7.3	25	107
100	1.8	30	7	25	141
20	2.4	50		37	301
20	2.4	50		37	322
20	7.2	16.7		37	180
10	2	32		35	10
15	2	39		35	240
20	2	27		35	330
20	2	26	7.8	35	330
20	3	39	7.9	35	300
10	2	23		35	10
15	2	39		35	230
20	2	26		35	310
20	2	25	7.8	35	330
20	3	28	7.8	35	300
10	2	34		35	10
15	2	39		35	210
20	2	27		35	300
20	2	26	7.8	35	330
20	3	39	7.8	35	280
18	0.7	16	8	37	197
43	1	16	7	37	220
81	2	16	7	37	265
100			6.9	36	628
16		30	7.8	35	200
16		30	8.04	53	218
100	1.8	30	7.1	25	79
50	1.8	30	7.2	25	124
50	1.8	30	7.3	25	128
100	1	25	6.1	37	112
90	1	25	6.1	37	94.2
70	1	25	6	37	69.9
30	1	25	6.3	37	47.5
46	2	18	7.32	35	270
46	1.7	20	7.76	35	210
50	1.8	30	7.3	25	108
50	1.8	30	7.1	25	98
50	1.8	30	7.1	25	129
47	1.5	25	7.4	55	620
47	2	25	7.5	55	380
100	0.5	99.6	7	35	186.6
100	0.5	104.3	7.4	35	172.9
100	1	49.8	6.8	35	198
100	1	49.6	7.6	35	273
100	1.5	33.2	7	35	162.4
100	1.5	35.4	7.3	35	280.6
100	1.8	27.7	7.1	35	124.6
100	1.8	29.4	7.4	35	368.2
100	2.2	22.6	6.9	35	133.5
100	2.2	24.1	7.4	35	365.6
50	1.3	33		38	208
50	1.9	22		38	134
50	1.5	28		38	168
25	1.8	20	7.77	37	354
25	2	20	7.7	37	301
50	2.3	30	7.9	35	340
50	2.3	30	7.9	35	260
50	2.3	30	7.9	35	300
100				33	119
84				33	197
100	1.8	30	5	25	15
50	1.8	30	7	25	192
40	3.7	24	8.32	37	150.87
60	3.2	24	8.36	37	208.74
80	2.7	24	8.57	37	274.34
100	4	20	7.02	37	49
75	4	20	7.13	37	149
75	4	20	7.05	37	165.4
50	4	20	7.01	37	296
50	3	102		38	520
25	2.9	15		35	536
46	2.9	15		35	641
70	3.1	15		35	0
40	1.3	15		35	76
5	1.2	10		37	210
5	1.2	10		37	215
10	2.48	10	7.7	37	293
12	1.96	10	7.6	37	349
14	2.85	10	7.7	37	245
16	2.67	10	7.9	37	251
18	2.92	10	7.8	37	288
0	1.2	20	7.4	56	260
10	1.2	20	7.5	55	300
24	2.1	20	7.5	56	277
33	1.9	20	7.3	55	243
20	2	15	7.2	35	337.26
40	3.1	15	7.2	35	462
60	3.5	15	7.2	35	490
60	4.1	15	6.9	35	0
90	8.3	15	5.9	35	0
2	2.2	10	8.56	37	202
4	2.2	10	8	37	211
6	2.2	10	7.955	37	232
8	2.2	10	7.92	37	212
10	2.2	10	7.846666667	37	229
1	0.8	30	7.5	34	398
11	0.8	30	7.4	34	200
1	0.9	30	7.5	34	112
1	1.1	30	7.3	34	144
20	1.6	15	7.6	55	567.9
40	1.6	15	7.5	55	607.2
60	1.6	15	7.5	55	668
